iter	RMSE
854	5871.656751
855	5861.904492
856	5851.888489
857	5847.727069
858	5840.660891
859	5833.509742
860	5827.445584
861	5822.620128
862	5813.90165
863	5809.785576
864	5804.323791
865	5798.17618
866	5790.487854
867	5778.614563
868	5768.436601
869	5758.955871
870	5754.178335
871	5747.532668
872	5735.708856
873	5728.037897
874	5723.558788
875	5714.292975
876	5707.2028
877	5698.97599
878	5693.239277
879	5689.293625
880	5674.457763
881	5666.414312
882	5665.936476
883	5665.429067
884	5651.265829
885	5645.486579
886	5637.062849
887	5634.977069
888	5628.202813
889	5617.438388
890	5605.745267
891	5597.926799
892	5589.002076
893	5573.128064
894	5566.318634
895	5561.210253
896	5550.040465
897	5541.367029
898	5537.352316
899	5533.709883
900	5527.511702
901	5519.352006
902	5512.491915
903	5503.991974
904	5493.819639
905	5492.376593
906	5491.918761
907	5486.610619
908	5475.226772
909	5460.13278
910	5448.871959
911	5441.220301
912	5428.0746
913	5426.718948
914	5416.242769
915	5409.376927
916	5403.028678
917	5394.371967
918	5383.389236
919	5375.541395
920	5374.379313
921	5373.127395
922	5365.556857
923	5360.155675
924	5352.308332
925	5343.602982
926	5337.762389
927	5327.51077
928	5317.119501
929	5303.762779
930	5293.974051
931	5287.816214
932	5280.129518
933	5275.040786
934	5268.023653
935	5266.04652
936	5260.799259
937	5259.768266
938	5248.244803
939	5243.710151
940	5243.285284
941	5234.888328
942	5229.563416
943	5226.785882
944	5219.330022
945	5212.834344
946	5212.387184
947	5209.792397
948	5205.000689
949	5199.114413
950	5191.692143
951	5185.218107
952	5178.370609
953	5173.215855
954	5163.871204
955	5156.553486
956	5141.128858
957	5134.634465
958	5130.94638
959	5128.210965
960	5119.107283
961	5114.839338
962	5111.678902
963	5101.526183
964	5092.384805
965	5082.977795
966	5075.459915
967	5073.240909
968	5062.689157
969	5052.403434
970	5048.79286
971	5042.456258
972	5033.966806
973	5026.1172
974	5025.413259
975	5020.629884
976	5014.953063
977	5011.218618
978	5002.675858
979	4990.972572
980	4990.329756
981	4989.470381
982	4984.883156
983	4980.456088
984	4971.655613
985	4968.634862
986	4962.756989
987	4953.264114
988	4939.111275
989	4932.173888
990	4921.340811
991	4907.496785
992	4900.212105
993	4896.205482
994	4891.385131
995	4889.811217
996	4885.291653
997	4878.03915
998	4871.883639
999	4865.289814
